Camera,Project,Tube,Location,Date,Pixels_per_mm,Pixels_per_cm,Width_cm,Height_cm,Area_cm
2,24ARGENTACAM2,T001,L001,7.22.2024,48.2668,482.668,1.325963188,0.994472391,1.318633782
2,24ARGENTACAM2,T162,L008,7.22.2024,37.56,375.6,1.703940362,1.277955272,2.177559568
3,24ARGENTACAM3,T001,L001,7.22.2024,36.6,366,1.74863388,1.31147541,2.293290334
2,24ARGENTACAM2,T031,L008,7.23.2024,36.69,366.9,1.744344508,1.308258381,2.282053322
3,24ARGENTACAM3,T073,L005,7.23.2024,36,360,1.777777778,1.333333333,2.37037037
2,24ARGENTACAM2,T081,L007,8.12.2024,37.228,372.28,1.719136134,1.289352101,2.216571786
3,24ARGENTACAM3,T016,L010,8.12.2024,36.09,360.9,1.773344417,1.330008313,2.358562815
2,24ARGENTACAM2,T177,L019,8.13.2024,39.47,394.7,1.621484672,1.216113504,1.971909406
3,24ARGENTACAM3,T122,L006,8.13.2024,36.86,368.6,1.736299512,1.302224634,2.261051996
2,24ARGENTACAM2,T158,L016,9.9.2024,36.74,367.4,1.741970604,1.306477953,2.27584619
3,24ARGENTACAM3,T157,L006,9.9.2024,36.59,365.9,1.749111779,1.311833834,2.294544012
2,24ARGENTACAM2,T082,L017,9.10.2024,39.366,393.66,1.62576843,1.219326322,1.98234224
3,24ARGENTACAM3,T113,L008,9.10.2024,36.35,363.5,1.760660248,1.320495186,2.324943381
1,24ARGENTACAM1,T001,L001,7.22.2024,37.14,371.4,1.723209478,1.292407108,2.227088178
1,24ARGENTACAM1,T050,L007,9.10.2024,34.68,346.8,1.84544406,1.384083045,2.554247834
1,24ARGENTACAM1,T050,L008,8.12.2024,44.82,448.2,1.427933958,1.070950469,1.529246541
1,24ARGENTACAM1,T145,L008,9.9.2024,37.36,373.6,1.713062099,1.284796574,2.200936315
