AbsR,AbsC,Hybrid_Code,Stature,Barcode,Block
2,3,4,Tall,18585033,4
2,4,3,Tall,18585039,4
2,5,4,Tall,18585034,4
2,6,3,Tall,18585040,4
2,7,4,Tall,18585035,4
2,8,3,Tall,18585041,4
2,11,1,Tall,18584997,3
2,12,2,Tall,18585003,3
2,13,1,Tall,18584998,3
2,14,2,Tall,18585004,3
2,15,1,Tall,18584999,3
2,16,2,Tall,18585005,3
3,3,3,Tall,18585044,4
3,4,4,Tall,18585038,4
3,5,3,Tall,18585043,4
3,6,4,Tall,18585037,4
3,7,3,Tall,18585042,4
3,8,4,Tall,18585036,4
3,11,2,Tall,18585008,3
3,12,1,Tall,18585002,3
3,13,2,Tall,18585007,3
3,14,1,Tall,18585001,3
3,15,2,Tall,18585006,3
3,16,1,Tall,18585000,3
6,3,3,Short,18585009,1
6,4,4,Short,18585015,1
6,5,3,Short,18585010,1
6,6,4,Short,18585016,1
6,7,3,Short,18585011,1
6,8,4,Short,18585017,1
6,11,1,Short,18585021,2
6,12,2,Short,18585027,2
6,13,1,Short,18585022,2
6,14,2,Short,18585028,2
6,15,1,Short,18585023,2
6,16,2,Short,18585029,2
7,3,4,Short,18585020,1
7,4,3,Short,18585014,1
7,5,4,Short,18585019,1
7,6,3,Short,18585013,1
7,7,4,Short,18585018,1
7,8,3,Short,18585012,1
7,11,2,Short,18585032,2
7,12,1,Short,18585026,2
7,13,2,Short,18585031,2
7,14,1,Short,18585025,2
7,15,2,Short,18585030,2
7,16,1,Short,18585024,2
